dataset,method,seed,rank_hv(auditor_fn_violation:accuracy),rank_hv(auditor_fn_violation:auc_prc),rank_hv(auditor_fn_violation:ave_precision_score),rank_hv(auditor_fp_violation:accuracy),rank_hv(auditor_fp_violation:auc_prc),rank_hv(auditor_fp_violation:ave_precision_score),method_nice
student,feat_flex2,15860,4.0,5.0,2.0,4.0,4.0,2.0,FLEX
student,feat_flex2,16695,2.0,5.0,3.0,2.0,6.0,3.0,FLEX
student,feat_flex2,18313,5.0,8.0,6.0,5.0,8.0,6.0,FLEX
student,feat_flex2,18998,3.0,7.0,7.0,3.0,7.0,8.0,FLEX
student,feat_flex2,19863,5.0,3.5,6.0,5.0,3.5,7.0,FLEX
student,feat_flex2,20300,4.0,7.0,5.0,4.0,7.0,7.0,FLEX
student,feat_flex2,20404,5.0,7.0,3.0,5.0,8.0,4.0,FLEX
student,feat_flex2,21353,3.0,6.0,4.0,5.0,7.0,6.0,FLEX
student,feat_flex2,21924,6.0,2.5,4.0,6.0,2.5,4.0,FLEX
student,feat_flex2,22571,2.0,6.0,4.0,2.0,6.0,4.0,FLEX
student,feat_flex2,22727,6.0,8.0,6.0,6.0,8.0,7.0,FLEX
student,feat_flex2,24284,4.0,4.0,3.0,4.0,5.0,3.0,FLEX
student,feat_flex2,24481,4.0,2.0,5.0,5.0,2.0,5.0,FLEX
student,feat_flex2,25349,5.0,7.0,4.0,5.0,8.0,4.0,FLEX
student,feat_flex2,26311,4.0,8.0,5.0,4.0,8.0,5.0,FLEX
student,feat_flex2,27690,6.0,8.0,5.0,6.0,7.0,6.0,FLEX
student,feat_flex2,28699,3.0,2.0,1.0,2.0,2.0,1.0,FLEX
student,feat_flex2,29198,4.0,8.0,5.0,4.0,8.0,5.0,FLEX
student,feat_flex2,29756,5.0,8.0,6.0,5.0,8.0,6.0,FLEX
student,feat_flex2,29759,4.0,7.0,3.0,2.0,6.0,2.0,FLEX
student,feat_flex2,30132,5.0,8.0,3.0,6.0,8.0,4.0,FLEX
student,feat_flex2,31658,6.0,8.0,7.0,6.0,8.0,7.0,FLEX
student,feat_flex2,32400,1.0,4.0,1.0,1.0,4.0,1.0,FLEX
student,feat_flex2_nsga2,871,4.0,2.0,4.0,4.0,3.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,1318,6.0,3.0,6.0,6.0,3.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,2917,4.0,4.0,6.0,4.0,4.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,4719,2.0,2.0,1.0,2.0,3.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,4866,4.0,8.0,6.0,4.0,8.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,5740,3.0,2.0,4.0,3.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,6126,5.0,7.0,7.0,6.0,7.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,6654,6.0,3.0,3.0,5.0,3.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,6832,6.0,6.0,5.0,6.0,7.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,6933,3.0,8.0,6.0,3.0,8.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,7376,5.0,7.0,5.0,5.0,7.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,8233,4.0,1.0,6.0,4.0,1.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,8653,4.0,3.0,5.0,4.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,9271,5.0,1.0,6.0,6.0,1.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,9292,3.0,6.0,3.0,4.0,7.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,9296,1.0,2.0,1.0,1.0,2.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,9540,5.0,1.5,7.0,5.0,1.5,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,9675,6.0,4.0,7.0,6.0,4.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,10102,5.0,4.0,4.0,5.0,4.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,10132,4.0,2.5,4.0,4.0,2.5,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,10197,6.0,3.0,5.0,6.0,4.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,12092,4.0,2.0,5.0,5.0,2.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,12498,6.0,8.0,8.0,6.0,8.0,8.0,FLEX-NSGA2
student,feat_flex2_nsga2,12669,5.0,3.0,7.0,5.0,4.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,13352,5.0,7.0,4.0,5.0,7.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,14289,6.0,7.0,3.0,6.0,7.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,14724,6.0,8.0,5.0,6.0,7.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,15860,2.0,2.0,3.0,2.0,2.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,16695,4.0,1.5,5.0,5.0,1.5,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,18313,2.0,3.0,2.0,4.0,2.0,2.0,FLEX-NSGA2
student,feat_flex2_nsga2,18998,4.0,5.0,4.0,4.0,5.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,19863,6.0,7.0,5.0,6.0,8.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,20300,5.0,6.0,4.0,5.0,6.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,20404,2.0,2.0,6.0,3.0,3.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,21353,1.0,1.0,1.0,2.0,1.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,21924,2.0,4.0,6.0,2.0,4.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,22571,4.0,2.0,3.0,4.0,2.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,22727,2.0,2.0,4.0,2.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,24284,3.0,3.0,1.0,3.0,3.0,1.0,FLEX-NSGA2
student,feat_flex2_nsga2,24481,5.0,6.0,4.0,4.0,6.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,25349,6.0,2.0,5.0,6.0,2.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,26311,2.0,2.0,4.0,2.0,2.0,4.0,FLEX-NSGA2
student,feat_flex2_nsga2,27690,1.0,2.0,6.0,2.0,2.0,7.0,FLEX-NSGA2
student,feat_flex2_nsga2,28699,2.0,5.0,2.0,3.0,6.0,2.0,FLEX-NSGA2
student,feat_flex2_nsga2,29198,5.0,2.0,6.0,5.0,3.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,29756,1.0,4.0,5.0,1.0,5.0,5.0,FLEX-NSGA2
student,feat_flex2_nsga2,29759,1.0,6.0,2.0,1.0,7.0,3.0,FLEX-NSGA2
student,feat_flex2_nsga2,30132,1.0,2.0,6.0,4.0,2.0,6.0,FLEX-NSGA2
student,feat_flex2_nsga2,31658,5.0,4.0,2.0,5.0,4.0,2.0,FLEX-NSGA2
student,feat_flex2_nsga2,32400,4.0,3.0,5.0,4.0,3.0,5.0,FLEX-NSGA2
student,feat_lex,871,6.0,4.0,5.0,6.0,4.0,6.0,LEX
student,feat_lex,1318,4.0,8.0,7.0,4.0,8.0,7.0,LEX
student,feat_lex,2917,3.0,5.0,1.0,3.0,6.0,1.0,LEX
student,feat_lex,4719,1.0,5.0,2.0,1.0,5.0,2.0,LEX
student,feat_lex,4866,6.0,5.0,4.0,5.0,6.0,4.0,LEX
student,feat_lex,5740,2.0,6.0,1.0,2.0,6.0,1.0,LEX
student,feat_lex,6126,4.0,6.0,3.0,4.0,5.0,3.0,LEX
student,feat_lex,6654,1.0,1.0,1.0,1.0,1.0,1.0,LEX
student,feat_lex,6832,1.0,2.0,1.0,1.0,2.0,1.0,LEX
student,feat_lex,6933,2.0,3.0,5.0,2.0,4.0,5.0,LEX
student,feat_lex,7376,3.0,3.0,3.0,3.0,3.0,3.0,LEX
student,feat_lex,8233,5.0,8.0,4.0,5.0,8.0,4.0,LEX
student,feat_lex,8653,2.0,7.0,3.0,2.0,7.0,3.0,LEX
student,feat_lex,9271,3.0,6.0,3.0,3.0,7.0,3.0,LEX
student,feat_lex,9292,1.0,7.0,2.0,1.0,6.0,2.0,LEX
student,feat_lex,9296,2.0,5.0,2.0,2.0,5.0,2.0,LEX
student,feat_lex,9540,6.0,5.0,6.0,6.0,6.0,7.0,LEX
student,feat_lex,9675,3.0,7.0,3.0,2.0,6.0,2.0,LEX
student,feat_lex,10102,3.0,7.0,1.0,3.0,7.0,1.0,LEX
student,feat_lex,10132,1.0,5.0,2.0,2.0,6.0,2.0,LEX
student,feat_lex,10197,5.0,6.0,3.0,5.0,6.0,3.0,LEX
student,feat_lex,12092,3.0,6.0,3.0,3.0,8.0,3.0,LEX
student,feat_lex,12498,4.0,6.0,4.0,4.0,6.0,4.0,LEX
student,feat_lex,12669,1.0,5.0,1.0,1.0,5.0,1.0,LEX
student,feat_lex,13352,3.0,6.0,3.0,3.0,6.0,3.0,LEX
student,feat_lex,14289,4.0,2.0,4.0,5.0,2.0,4.0,LEX
student,feat_lex,14724,1.0,4.0,6.0,1.0,4.0,6.0,LEX
student,feat_lex,15860,5.0,7.0,6.0,5.0,7.0,6.0,LEX
student,feat_lex,16695,5.0,8.0,6.0,4.0,8.0,5.0,LEX
student,feat_lex,18313,3.0,6.0,4.0,3.0,6.0,3.0,LEX
student,feat_lex,18998,2.0,6.0,2.0,2.0,6.0,2.0,LEX
student,feat_lex,19863,1.0,3.5,2.0,1.0,3.5,2.0,LEX
student,feat_lex,20300,1.0,4.0,2.0,1.0,5.0,3.0,LEX
student,feat_lex,20404,4.0,3.0,1.0,4.0,5.0,1.0,LEX
student,feat_lex,21353,4.0,8.0,6.0,3.0,8.0,5.0,LEX
student,feat_lex,21924,4.0,7.0,2.0,4.0,7.0,2.0,LEX
student,feat_lex,22571,5.0,8.0,6.0,5.0,8.0,6.0,LEX
student,feat_lex,22727,4.0,3.0,3.0,5.0,3.0,3.0,LEX
student,feat_lex,24284,1.0,5.0,4.0,2.0,7.0,5.0,LEX
student,feat_lex,24481,2.0,7.0,3.0,1.0,8.0,3.0,LEX
student,feat_lex,25349,2.0,4.0,2.0,2.0,5.0,2.0,LEX
student,feat_lex,26311,1.0,7.0,3.0,1.0,7.0,3.0,LEX
student,feat_lex,27690,2.0,4.0,2.0,1.0,5.0,2.0,LEX
student,feat_lex,28699,4.0,4.0,4.0,4.0,5.0,4.0,LEX
student,feat_lex,29198,3.0,4.0,1.0,3.0,5.0,1.0,LEX
student,feat_lex,29756,2.0,6.0,3.0,2.0,6.0,3.0,LEX
student,feat_lex,29759,5.0,5.0,1.0,5.0,5.0,1.0,LEX
student,feat_lex,30132,2.0,3.0,4.0,2.0,3.0,3.0,LEX
student,feat_lex,31658,2.0,5.0,3.0,2.0,5.0,3.0,LEX
student,feat_lex,32400,2.0,7.0,4.0,2.0,7.0,4.0,LEX
student,feat_nsga2,871,3.0,8.0,6.0,3.0,8.0,5.0,NSGA2
student,feat_nsga2,1318,3.0,6.0,4.0,3.0,5.0,5.0,NSGA2
student,feat_nsga2,2917,2.0,2.0,2.0,2.0,3.0,2.0,NSGA2
student,feat_nsga2,4719,5.0,7.0,7.0,5.0,7.0,7.0,NSGA2
student,feat_nsga2,4866,2.0,6.0,5.0,2.0,7.0,5.0,NSGA2
student,feat_nsga2,5740,4.0,4.0,2.0,4.0,4.0,2.0,NSGA2
student,feat_nsga2,6126,3.0,2.0,1.0,3.0,2.0,1.0,NSGA2
student,feat_nsga2,6654,3.0,3.0,5.0,3.0,3.0,4.0,NSGA2
student,feat_nsga2,6832,4.0,8.0,6.0,4.0,8.0,7.0,NSGA2
student,feat_nsga2,6933,6.0,4.0,4.0,6.0,3.0,4.0,NSGA2
student,feat_nsga2,7376,1.0,2.0,2.0,1.0,2.0,2.0,NSGA2
student,feat_nsga2,8233,6.0,6.0,5.0,6.0,6.0,5.0,NSGA2
student,feat_nsga2,8653,3.0,4.0,2.0,3.0,3.0,2.0,NSGA2
student,feat_nsga2,9271,4.0,2.5,4.0,4.0,2.5,4.0,NSGA2
student,feat_nsga2,9292,6.0,4.0,7.0,6.0,5.0,8.0,NSGA2
student,feat_nsga2,9296,3.0,8.0,5.0,3.0,7.0,5.0,NSGA2
student,feat_nsga2,9540,2.0,4.0,2.0,2.0,4.0,2.0,NSGA2
student,feat_nsga2,9675,5.0,5.0,8.0,5.0,5.0,8.0,NSGA2
student,feat_nsga2,10102,6.0,1.0,6.0,6.0,1.0,6.0,NSGA2
student,feat_nsga2,10132,3.0,8.0,6.0,3.0,8.0,6.0,NSGA2
student,feat_nsga2,10197,2.0,2.0,2.0,2.0,2.0,2.0,NSGA2
student,feat_nsga2,12092,1.0,5.0,1.0,1.0,6.0,1.0,NSGA2
student,feat_nsga2,12498,1.0,2.0,1.0,1.0,3.0,1.0,NSGA2
student,feat_nsga2,12669,4.0,6.0,3.0,4.0,6.0,4.0,NSGA2
student,feat_nsga2,13352,6.0,8.0,6.0,6.0,8.0,6.0,NSGA2
student,feat_nsga2,14289,1.0,5.0,1.0,1.0,5.0,1.0,NSGA2
student,feat_nsga2,14724,2.0,6.0,3.0,2.0,6.0,3.0,NSGA2
student,feat_nsga2,15860,3.0,6.0,4.0,3.0,6.0,4.0,NSGA2
student,feat_nsga2,16695,6.0,6.0,4.0,6.0,7.0,4.0,NSGA2
student,feat_nsga2,18313,6.0,7.0,5.0,6.0,7.0,5.0,NSGA2
student,feat_nsga2,18998,5.0,2.0,5.0,5.0,2.0,5.0,NSGA2
student,feat_nsga2,19863,4.0,5.0,3.0,4.0,6.0,3.0,NSGA2
student,feat_nsga2,20300,3.0,5.0,3.0,3.0,4.0,2.0,NSGA2
student,feat_nsga2,20404,6.0,4.0,5.0,6.0,6.0,5.0,NSGA2
student,feat_nsga2,21353,5.0,2.0,3.0,4.0,2.0,4.0,NSGA2
student,feat_nsga2,21924,5.0,1.0,7.0,5.0,1.0,7.0,NSGA2
student,feat_nsga2,22571,6.0,7.0,5.0,6.0,7.0,5.0,NSGA2
student,feat_nsga2,22727,3.0,4.0,2.0,3.0,5.0,2.0,NSGA2
student,feat_nsga2,24284,6.0,8.0,6.0,6.0,8.0,7.0,NSGA2
student,feat_nsga2,24481,3.0,4.0,2.0,3.0,4.0,2.0,NSGA2
student,feat_nsga2,25349,4.0,3.0,6.0,4.0,4.0,6.0,NSGA2
student,feat_nsga2,26311,3.0,4.0,6.0,3.0,5.0,6.0,NSGA2
student,feat_nsga2,27690,5.0,6.0,3.0,4.0,6.0,3.0,NSGA2
student,feat_nsga2,28699,5.0,7.0,5.0,5.0,7.0,5.0,NSGA2
student,feat_nsga2,29198,2.0,6.0,3.0,2.0,7.0,3.0,NSGA2
student,feat_nsga2,29756,4.0,2.0,1.0,4.0,2.0,1.0,NSGA2
student,feat_nsga2,29759,3.0,1.5,6.0,3.0,1.5,6.0,NSGA2
student,feat_nsga2,30132,4.0,5.0,5.0,3.0,5.0,5.0,NSGA2
student,feat_nsga2,31658,4.0,6.0,4.0,4.0,6.0,5.0,NSGA2
student,feat_nsga2,32400,3.0,5.0,2.0,3.0,5.0,2.0,NSGA2
student,feat_random_p100_g0,871,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,1318,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,2917,1.0,1.0,3.0,1.0,1.0,4.0,Random
student,feat_random_p100_g0,4719,3.0,1.0,3.0,3.0,1.0,3.0,Random
student,feat_random_p100_g0,4866,3.0,1.0,1.0,3.0,1.0,1.0,Random
student,feat_random_p100_g0,5740,1.0,1.0,3.0,1.0,1.0,3.0,Random
student,feat_random_p100_g0,6126,1.0,4.0,2.0,1.0,4.0,2.0,Random
student,feat_random_p100_g0,6654,2.0,3.0,2.0,2.0,3.0,2.0,Random
student,feat_random_p100_g0,6832,2.0,1.0,2.0,2.0,1.0,2.0,Random
student,feat_random_p100_g0,6933,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,7376,2.0,1.0,1.0,2.0,1.0,1.0,Random
student,feat_random_p100_g0,8233,1.0,2.0,1.0,2.0,2.0,1.0,Random
student,feat_random_p100_g0,8653,1.0,2.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,9271,1.0,2.5,1.0,1.0,2.5,1.0,Random
student,feat_random_p100_g0,9292,2.0,1.0,1.0,2.0,1.0,1.0,Random
student,feat_random_p100_g0,9296,5.0,1.0,3.0,4.0,1.0,3.0,Random
student,feat_random_p100_g0,9540,1.0,1.5,1.0,1.0,1.5,1.0,Random
student,feat_random_p100_g0,9675,4.0,2.0,1.0,4.0,1.0,1.0,Random
student,feat_random_p100_g0,10102,1.0,2.0,2.0,1.0,2.0,2.0,Random
student,feat_random_p100_g0,10132,2.0,2.5,1.0,1.0,2.5,1.0,Random
student,feat_random_p100_g0,10197,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,12092,2.0,1.0,2.0,2.0,1.0,2.0,Random
student,feat_random_p100_g0,12498,2.0,1.0,2.0,2.0,1.0,2.0,Random
student,feat_random_p100_g0,12669,2.0,1.0,2.0,2.0,1.0,3.0,Random
student,feat_random_p100_g0,13352,2.0,2.0,1.0,2.0,2.0,1.0,Random
student,feat_random_p100_g0,14289,2.0,1.0,2.0,2.0,1.0,2.0,Random
student,feat_random_p100_g0,14724,3.0,1.0,2.0,3.0,1.0,2.0,Random
student,feat_random_p100_g0,15860,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,16695,1.0,1.5,2.0,1.0,1.5,2.0,Random
student,feat_random_p100_g0,18313,1.0,1.0,3.0,1.0,1.0,4.0,Random
student,feat_random_p100_g0,18998,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,19863,2.0,1.0,1.0,2.0,1.0,1.0,Random
student,feat_random_p100_g0,20300,2.0,1.0,1.0,2.0,1.0,1.0,Random
student,feat_random_p100_g0,20404,1.0,1.0,2.0,1.0,1.0,2.0,Random
student,feat_random_p100_g0,21353,2.0,3.0,2.0,1.0,3.0,2.0,Random
student,feat_random_p100_g0,21924,1.0,2.5,1.0,1.0,2.5,1.0,Random
student,feat_random_p100_g0,22571,1.0,5.0,2.0,1.0,5.0,2.0,Random
student,feat_random_p100_g0,22727,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,24284,2.0,2.0,2.0,1.0,2.0,2.0,Random
student,feat_random_p100_g0,24481,1.0,1.0,1.0,2.0,1.0,1.0,Random
student,feat_random_p100_g0,25349,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,26311,5.0,1.0,2.0,5.0,1.0,2.0,Random
student,feat_random_p100_g0,27690,3.0,1.0,1.0,3.0,1.0,1.0,Random
student,feat_random_p100_g0,28699,1.0,1.0,3.0,1.0,1.0,3.0,Random
student,feat_random_p100_g0,29198,1.0,1.0,4.0,1.0,1.0,4.0,Random
student,feat_random_p100_g0,29756,3.0,3.0,2.0,3.0,4.0,2.0,Random
student,feat_random_p100_g0,29759,2.0,1.5,4.0,4.0,1.5,4.0,Random
student,feat_random_p100_g0,30132,3.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,31658,1.0,1.0,1.0,1.0,1.0,1.0,Random
student,feat_random_p100_g0,32400,5.0,1.0,3.0,5.0,1.0,3.0,Random
student,feat_tourn,871,5.0,3.0,2.0,5.0,2.0,3.0,Tourn
student,feat_tourn,1318,5.0,4.0,2.0,5.0,4.0,2.0,Tourn
student,feat_tourn,2917,5.0,7.0,5.0,5.0,8.0,5.0,Tourn
student,feat_tourn,4719,6.0,8.0,8.0,6.0,8.0,8.0,Tourn
student,feat_tourn,4866,5.0,3.0,3.0,6.0,3.0,3.0,Tourn
student,feat_tourn,5740,5.0,5.0,7.0,5.0,5.0,7.0,Tourn
student,feat_tourn,6126,2.0,5.0,4.0,2.0,6.0,4.0,Tourn
student,feat_tourn,6654,4.0,8.0,6.0,4.0,8.0,6.0,Tourn
student,feat_tourn,6832,3.0,5.0,4.0,3.0,6.0,4.0,Tourn
student,feat_tourn,6933,5.0,7.0,3.0,5.0,7.0,3.0,Tourn
student,feat_tourn,7376,4.0,6.0,4.0,4.0,6.0,4.0,Tourn
student,feat_tourn,8233,2.0,3.0,3.0,1.0,3.0,2.0,Tourn
student,feat_tourn,8653,6.0,1.0,7.0,6.0,4.0,8.0,Tourn
student,feat_tourn,9271,6.0,8.0,5.0,5.0,8.0,6.0,Tourn
student,feat_tourn,9292,5.0,2.0,4.0,5.0,2.0,5.0,Tourn
student,feat_tourn,9296,6.0,6.0,4.0,6.0,6.0,4.0,Tourn
student,feat_tourn,9540,3.0,7.0,3.0,4.0,7.0,3.0,Tourn
student,feat_tourn,9675,2.0,6.0,2.0,3.0,7.0,3.0,Tourn
student,feat_tourn,10102,2.0,6.0,3.0,2.0,5.0,3.0,Tourn
student,feat_tourn,10132,6.0,7.0,5.0,6.0,7.0,5.0,Tourn
student,feat_tourn,10197,3.0,8.0,6.0,3.0,8.0,7.0,Tourn
student,feat_tourn,12092,5.0,3.0,4.0,4.0,3.0,4.0,Tourn
student,feat_tourn,12498,5.0,7.0,5.0,5.0,7.0,5.0,Tourn
student,feat_tourn,12669,6.0,8.0,8.0,6.0,8.0,8.0,Tourn
student,feat_tourn,13352,1.0,4.0,2.0,1.0,4.0,2.0,Tourn
student,feat_tourn,14289,5.0,3.0,5.0,4.0,3.0,5.0,Tourn
student,feat_tourn,14724,4.0,2.0,1.0,4.0,2.0,1.0,Tourn
student,feat_tourn,15860,6.0,8.0,7.0,6.0,8.0,8.0,Tourn
student,feat_tourn,16695,3.0,3.0,1.0,3.0,4.0,1.0,Tourn
student,feat_tourn,18313,4.0,5.0,1.0,2.0,5.0,1.0,Tourn
student,feat_tourn,18998,6.0,8.0,6.0,6.0,8.0,7.0,Tourn
student,feat_tourn,19863,3.0,2.0,4.0,3.0,2.0,4.0,Tourn
student,feat_tourn,20300,6.0,8.0,7.0,6.0,8.0,8.0,Tourn
student,feat_tourn,20404,3.0,8.0,4.0,2.0,7.0,3.0,Tourn
student,feat_tourn,21353,6.0,7.0,5.0,6.0,6.0,3.0,Tourn
student,feat_tourn,21924,3.0,8.0,3.0,3.0,8.0,3.0,Tourn
student,feat_tourn,22571,3.0,3.0,1.0,3.0,3.0,1.0,Tourn
student,feat_tourn,22727,5.0,7.0,5.0,4.0,7.0,6.0,Tourn
student,feat_tourn,24284,5.0,6.0,5.0,5.0,6.0,4.0,Tourn
student,feat_tourn,24481,6.0,5.0,6.0,6.0,5.0,6.0,Tourn
student,feat_tourn,25349,3.0,5.0,3.0,3.0,7.0,3.0,Tourn
student,feat_tourn,26311,6.0,5.0,1.0,6.0,6.0,1.0,Tourn
student,feat_tourn,27690,4.0,7.0,4.0,5.0,8.0,8.0,Tourn
student,feat_tourn,28699,6.0,8.0,8.0,6.0,8.0,8.0,Tourn
student,feat_tourn,29198,6.0,5.0,2.0,6.0,6.0,2.0,Tourn
student,feat_tourn,29756,6.0,7.0,4.0,6.0,7.0,4.0,Tourn
student,feat_tourn,29759,6.0,8.0,5.0,6.0,8.0,5.0,Tourn
student,feat_tourn,30132,6.0,7.0,2.0,5.0,7.0,2.0,Tourn
student,feat_tourn,31658,3.0,7.0,6.0,3.0,7.0,6.0,Tourn
student,feat_tourn,32400,6.0,8.0,6.0,6.0,8.0,6.0,Tourn
student,gerryfair,871,7.0,5.0,7.0,7.0,6.0,8.0,GerryFair
student,gerryfair,1318,7.0,5.0,8.0,8.0,6.0,8.0,GerryFair
student,gerryfair,2917,7.0,3.0,7.0,7.0,2.0,7.0,GerryFair
student,gerryfair,4719,7.0,3.0,5.0,7.0,2.0,5.0,GerryFair
student,gerryfair,4866,7.0,4.0,7.0,7.0,4.0,7.0,GerryFair
student,gerryfair,5740,8.0,7.0,8.0,8.0,7.0,8.0,GerryFair
student,gerryfair,6126,7.0,3.0,5.0,7.0,3.0,5.0,GerryFair
student,gerryfair,6654,7.0,5.0,7.0,7.0,5.0,7.0,GerryFair
student,gerryfair,6832,7.0,3.0,7.0,7.0,3.0,8.0,GerryFair
student,gerryfair,6933,7.0,6.0,8.0,7.0,6.0,8.0,GerryFair
student,gerryfair,7376,8.0,4.0,8.0,8.0,5.0,8.0,GerryFair
student,gerryfair,8233,7.0,5.0,8.0,7.0,4.0,7.0,GerryFair
student,gerryfair,8653,8.0,5.0,6.0,8.0,5.0,6.0,GerryFair
student,gerryfair,9271,7.0,4.0,7.0,7.0,4.0,5.0,GerryFair
student,gerryfair,9292,8.0,5.0,8.0,8.0,4.0,7.0,GerryFair
student,gerryfair,9296,7.0,4.0,8.0,7.0,3.0,7.0,GerryFair
student,gerryfair,9540,7.0,3.0,5.0,7.0,3.0,5.0,GerryFair
student,gerryfair,9675,7.0,1.0,6.0,7.0,2.0,5.0,GerryFair
student,gerryfair,10102,8.0,5.0,8.0,8.0,6.0,8.0,GerryFair
student,gerryfair,10132,7.0,4.0,8.0,7.0,4.0,8.0,GerryFair
student,gerryfair,10197,7.0,5.0,8.0,7.0,5.0,8.0,GerryFair
student,gerryfair,12092,7.0,7.0,7.0,7.0,5.0,7.0,GerryFair
student,gerryfair,12498,7.0,3.0,7.0,7.0,2.0,7.0,GerryFair
student,gerryfair,12669,7.0,2.0,4.0,7.0,2.0,2.0,GerryFair
student,gerryfair,13352,7.5,5.0,8.0,8.0,5.0,8.0,GerryFair
student,gerryfair,14289,7.0,4.0,7.0,7.0,4.0,7.0,GerryFair
student,gerryfair,14724,7.0,3.0,7.0,7.0,3.0,7.0,GerryFair
student,gerryfair,15860,7.0,4.0,8.0,7.0,3.0,5.0,GerryFair
student,gerryfair,16695,7.0,4.0,7.0,7.0,5.0,8.0,GerryFair
student,gerryfair,18313,7.0,2.0,7.0,7.0,3.0,8.0,GerryFair
student,gerryfair,18998,7.0,4.0,8.0,7.0,3.0,6.0,GerryFair
student,gerryfair,19863,7.0,6.0,7.0,7.0,5.0,6.0,GerryFair
student,gerryfair,20300,7.0,3.0,8.0,7.0,2.0,6.0,GerryFair
student,gerryfair,20404,7.0,6.0,8.0,7.0,4.0,8.0,GerryFair
student,gerryfair,21353,7.0,4.0,7.0,7.0,4.0,7.0,GerryFair
student,gerryfair,21924,8.0,5.0,5.0,7.5,5.0,5.0,GerryFair
student,gerryfair,22571,7.0,4.0,8.0,7.0,4.0,8.0,GerryFair
student,gerryfair,22727,7.0,5.0,8.0,7.0,6.0,8.0,GerryFair
student,gerryfair,24284,7.0,7.0,8.0,7.0,4.0,8.0,GerryFair
student,gerryfair,24481,7.0,3.0,7.0,7.0,3.0,7.0,GerryFair
student,gerryfair,25349,7.0,6.0,8.0,7.0,3.0,8.0,GerryFair
student,gerryfair,26311,7.0,6.0,8.0,7.0,3.0,7.0,GerryFair
student,gerryfair,27690,7.0,3.0,7.0,7.0,3.0,5.0,GerryFair
student,gerryfair,28699,7.0,3.0,6.0,7.0,4.0,6.0,GerryFair
student,gerryfair,29198,7.0,3.0,7.0,7.0,2.0,7.0,GerryFair
student,gerryfair,29756,7.0,1.0,7.0,7.0,1.0,7.0,GerryFair
student,gerryfair,29759,7.0,3.0,7.0,7.0,3.0,7.0,GerryFair
student,gerryfair,30132,7.0,4.0,7.0,7.0,4.0,7.0,GerryFair
student,gerryfair,31658,7.0,2.0,5.0,7.0,2.0,4.0,GerryFair
